"episode"	"instance"	"seed"	"A_DN_HistogramMode_5"	"A_DN_HistogramMode_10"	"A_CO_f1ecac"	"A_CO_FirstMin_ac"	"A_CO_HistogramAMI_even_2_5"	"A_CO_trev_1_num"	"A_MD_hrv_classic_pnn40"	"A_SB_BinaryStats_mean_longstretch1"	"A_SB_TransitionMatrix_3ac_sumdiagcov"	"A_PD_PeriodicityWang_th0_01"	"A_CO_Embed2_Dist_tau_d_expfit_meandiff"	"A_IN_AutoMutualInfoStats_40_gaussian_fmmi"	"A_FC_LocalSimple_mean1_tauresrat"	"A_DN_OutlierInclude_p_001_mdrmd"	"A_DN_OutlierInclude_n_001_mdrmd"	"A_SP_Summaries_welch_rect_area_5_1"	"A_SB_BinaryStats_diff_longstretch0"	"A_SB_MotifThree_quantile_hh"	"A_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1"	"A_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1"	"A_SP_Summaries_welch_rect_centroid"	"A_FC_LocalSimple_mean3_stderr"	"A_DN_Mean"	"A_DN_Spread_Std"	"R_DN_HistogramMode_5"	"R_DN_HistogramMode_10"	"R_CO_f1ecac"	"R_CO_FirstMin_ac"	"R_CO_HistogramAMI_even_2_5"	"R_CO_trev_1_num"	"R_MD_hrv_classic_pnn40"	"R_SB_BinaryStats_mean_longstretch1"	"R_SB_TransitionMatrix_3ac_sumdiagcov"	"R_PD_PeriodicityWang_th0_01"	"R_CO_Embed2_Dist_tau_d_expfit_meandiff"	"R_IN_AutoMutualInfoStats_40_gaussian_fmmi"	"R_FC_LocalSimple_mean1_tauresrat"	"R_DN_OutlierInclude_p_001_mdrmd"	"R_DN_OutlierInclude_n_001_mdrmd"	"R_SP_Summaries_welch_rect_area_5_1"	"R_SB_BinaryStats_diff_longstretch0"	"R_SB_MotifThree_quantile_hh"	"R_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1"	"R_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1"	"R_SP_Summaries_welch_rect_centroid"	"R_FC_LocalSimple_mean3_stderr"	"R_DN_Mean"	"R_DN_Spread_Std"
"1"	0	1	1	-0.344209514842417	-0.634100333179765	1	5	0.000613546592213997	0.10799651364977	0.881688168816882	11	0.000141474772737378	7	0.130866793847369	3	0.2	-0.0615	0.0107999999999999	0.213500138254117	8	2.19559332505061	0.16	0.12	1.53513127347666	1.14812601652517	1.43218770176645e-16	1.00000000000002	-2.35632974172653	-1.03291786023297	101	6327	0.0697936278218543	0.0677157293625806	0.0015001500150015	6326	0.166666666666667	0	0.0317908286138286	40	0.00111731843575419	0.3674	-0.9867	0.964617429123813	1	1.05137905243413	0.7	0.42	0.0107378655152002	0.109253351869591	-1.30232841177857e-12	1.00000000000018
"2"	40	1	1	-0.0891461696915903	-0.380795333909022	1	4	0.00156003321087675	0.229471770856802	0.72987298729873	12	0.0555555555555556	5	0.121113054382313	3	0.000687285223367698	0.37715	-0.1304	0.237587390145073	7	2.00649036773164	0.88	0.82	1.43772349344591	1.12928142500205	7.30112637015168e-15	0.99999999999997	-2.08936403282281	-0.531071021974999	1391	5835	0.00873063268620341	1.07305155181117	0.001000100010001	4756	0.166666666666667	0	0.000356829168138227	40	0.000258866166192079	0.564	-0.8198	0.913398322247382	1	1.00763097708811	0.88	0.82	0.000766990393942871	0.183674965245878	2.64767265889532e-12	0.999999999999971
"3"	80	1	1	0.0643674406685906	-0.298350934619871	1	3	0.000591095668312912	0.202398636203792	0.720872087208721	15	0.044263775971093	4	0.107691241818566	2	0.0123456790123457	0.3437	-0.1254	0.234872067835345	7	1.98160405208324	0.88	0.78	1.47032058518848	1.13169968141315	-1.41324563163181e-14	0.999999999999996	-0.720031259734204	0.222334648427138	795	6127	0.0833168548652539	0.0202828769030213	0.0016001600160016	4539	0.166666666666667	0	0.0637916203313347	40	0.00132030631106417	0.7292	-0.9427	0.979698092316241	1	1.09082536300098	0.18	0.88	0.00153398078788574	0.10852517636654	-3.54351024078881e-12	1.00000000000014
"4"	120	1	1	0.0828215190264597	-0.288772151848709	1	1	0.000905757470324039	0.165199593040704	0.718071807180718	11	0.0365013774104683	4	0.107358049509002	3	0.00227790432801822	0.3539	-0.1245	0.222275732382877	5	1.97613668181765	0.86	0.76	1.53206331190089	1.13584484963028	6.00560642882719e-15	0.999999999999988	-0.702457703790418	-0.0401282208240925	1239	7711	0.18493941610665	0.0123786391043057	0.0015001500150015	7405	0.0625	1657	0.057793807196373	40	0.00240288346015218	0.2595	-0.9555	0.990485111749376	1	0.867753506193675	0.36	0.86	0.00115048559091431	0.0724405365287277	5.91450755038636e-13	0.999999999999861
"5"	160	1	1	0.00257968917690166	-0.331017098443405	1	3	0.0011837872309003	0.182825631251135	0.716071607160716	11	0.0452674897119342	4	0.119256040312672	2	0.000917431192660551	0.3306	-0.1206	0.226691585753109	6	1.97347964877773	0.88	0.78	1.50215068653711	1.13530871064678	-1.34038669052927e-14	1.00000000000004	0.318232829843235	0.675709950292943	1301	6947	0.829012403988033	0.000430577325383154	0.0019001900190019	3430	0.166666666666667	3158	0.398415002160178	40	0.00117647058823529	0.6571	-0.9226	0.997828661456163	1	0.749453794591805	0.62	0.52	0.00115048559091431	0.0343343980174606	-2.25724190450194e-12	0.999999999999852
"6"	200	1	1	-0.00561884269926882	-0.331681241415065	1	2	0.00115032181283036	0.0925150686250453	0.716371637163716	14	0.0733333333333334	2	0.111757902276807	1	0.00204081632653061	0.3654	-0.1121	0.226623957355822	6	1.97190618318535	0.86	0.76	1.53129632150694	1.13443598966625	-1.15837450742617e-14	0.999999999999997	-1.43498726322643	-0.412836063354668	558	5462	0.0640049351054309	0.0491792804546024	0.0019001900190019	5446	0.166666666666667	1581	0.0307602940007914	40	0.00232558139534884	0.5462	-0.9884	0.973329645166215	1	0.690096256934802	0.52	0.64	0.00460194236365723	0.0827432736360943	-1.64761260190716e-12	1.00000000000002
"7"	240	1	1	0.0303244209792846	-0.318255829645618	1	1	0.00190771713782462	0.103745438627115	0.722572257225723	14	0.0149942329873126	4	0.102143849403225	3	0.0017636684303351	0.3672	-0.121	0.223468418113181	7	1.98652107169422	0.86	0.8	1.5063691337038	1.1331703805989	3.68194363886687e-15	1.00000000000003	-1.32254659599383	-0.249677438783918	1186	6443	0.0259017885869922	0.0356807199739064	0.002000200020002	6440	0.166666666666667	0	0.0481393825062866	40	0.00143184421534937	0.356	-0.9915	0.96842500199317	1	1.09253144436693	0.42	0.88	0.00115048559091431	0.12961107422698	1.58297763785953e-12	0.999999999999966
"8"	280	1	1	-0.0630604155231336	-0.364850907145238	1	2	0.00140192856378973	0.0839579391407819	0.71957195719572	10	0.0430839002267574	3	0.129798484369181	1	0.00218818380743982	0.39225	-0.1112	0.240842874800831	6	1.9839531493915	0.88	0.72	1.45459728211266	1.13387503758359	1.14466436329508e-14	0.999999999999985	-2.91149938189015	-1.1304759852082	569	6519	0.0380254540410614	0.425310843425372	0.0013001300130013	6518	0.0740740740740741	2735	0.0088192344431658	40	0.00210653024375564	0.3482	-0.9254	0.933226460312678	1	1.01802877128131	0.12	0.12	0.00306796157577148	0.125201982403775	-3.12589500950367e-12	0.999999999999941
"9"	320	1	1	0.155864841574102	-0.252121180463182	1	2	0.00101971463695248	0.112375784993797	0.721772177217722	10	0.0516528925619835	2	0.0888614115732247	1	0.00226757369614512	0.31615	-0.116	0.229140033661731	5	1.99164915043691	0.86	0.76	1.5117380664614	1.13348532013955	-1.16545439965421e-14	1.00000000000001	-1.66177289785715	-0.616858600825607	333	9395	0.0694994138544803	0.0660160235405455	0.0013001300130013	9394	0.0740740740740741	0	0.0196342881344976	40	0.00180831826401447	0.7009	-0.9982	0.978137673073867	1	0.978567402755926	0.88	0.82	0.00383495196971436	0.0800412658969136	1.34641863214213e-12	0.999999999999858
"10"	360	1	1	-0.0370097803864998	-0.351790150886817	1	3	0.00119918906542451	0.193523231310906	0.721972197219722	9	0.0216962524654832	3	0.114700234798026	2	0.00138121546961326	0.3272	-0.1196	0.234003129867915	6	1.98095155377884	0.88	0.82	1.46495165243088	1.13779869812009	-3.86036758115438e-15	0.999999999999944	-0.369234892711154	0.256371235715568	1516	7643	0.126076369904749	0.00261845532140156	0.0016001600160016	6638	0.0740740740740741	2170	0.182492432393233	40	0.00126702565726956	0.4991	-0.9812	0.991091088318543	1	0.933008880382476	0.12	0.14	0.000766990393942871	0.0605784435025439	-3.22727176094162e-12	1.0000000000001
