"instance"	"DN_HistogramMode_5"	"DN_HistogramMode_10"	"CO_f1ecac"	"CO_FirstMin_ac"	"CO_HistogramAMI_even_2_5"	"CO_trev_1_num"	"MD_hrv_classic_pnn40"	"SB_BinaryStats_mean_longstretch1"	"SB_TransitionMatrix_3ac_sumdiagcov"	"PD_PeriodicityWang_th0_01"	"CO_Embed2_Dist_tau_d_expfit_meandiff"	"IN_AutoMutualInfoStats_40_gaussian_fmmi"	"FC_LocalSimple_mean1_tauresrat"	"DN_OutlierInclude_p_001_mdrmd"	"DN_OutlierInclude_n_001_mdrmd"	"SP_Summaries_welch_rect_area_5_1"	"SB_BinaryStats_diff_longstretch0"	"SB_MotifThree_quantile_hh"	"SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1"	"SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1"	"SP_Summaries_welch_rect_centroid"	"FC_LocalSimple_mean3_stderr"	"DN_Mean"	"DN_Spread_Std"	"state_Shift..dimension.1."	"state_Shift..dimension.2."	"state_Slope..dimension.1."	"state_Slope..dimension.2."
"1"	1	-0.986991528018641	-0.3302198766008	1	1	1.2130075659799	3.02815875606684	0.888888888888889	3	0.00823045267489712	0	0.278502589436411	1	1	-0.1	0.1	0	3	2.04319187054512	0	0	1.96349540849375	1.34759488039663	8.88178419700125e-17	1	5.69945902330864	0.179938817622058	3.42183383080134	8.48628002450219
"2"	2	-0.803295628920902	-0.928172652828185	1	1	0.562335144618808	0.910886148543428	1	4	0.0329218106995885	0	0.331333688750281	3	1	0.2	-0.2	0	2	1.73512645696292	0	0	2.74889357189125	1.21368340486972	1.33226762955019e-16	1	5.41053623095751	5.70009160832495	-5.35404009762492	2.76787147719077
"3"	3	-0.987090050176479	-1.1449210610678	1	3	0.97431475286935	0.406031989258739	1	4	0.0625	0	0.325887639679492	1	0.5	-0.2	0.6	4.93038065763132e-33	3	1.67698777432242	0	0	1.17809724509625	1.27789408905856	3.33066907387547e-17	1	1.57994648752958	6.37488520105643	1.03789863418274	4.21933069937961
"4"	4	-1.15653337303708	-0.253565562635279	1	1	1.2130075659799	1.93979149376577	1	3	0.0246913580246914	0	0.335766694398051	2	1	0.7	0	1.23259516440783e-33	3	1.88915916375402	0	0	2.74889357189125	1.15037140737757	1.33226762955019e-16	1	2.61235568666599	6.47805123577276	7.62276039219934	-3.08988695702752
"5"	5	-0.391574940879659	-0.391574940879659	1	2	0.240930946277197	-2.70824312954131	1	2	0.0625	0	0.265387105632262	1	0.5	-0.6	0.4	6.93334779979405e-34	3	1.73512645696292	0	0	1.570796326795	0.749338543360743	-3.10862446895044e-16	1	2.25508960301943	0.188678665785412	2.48316400187186	6.26020551459396
"6"	6	-0.312671527692179	0.250781728247012	1	2	0.49692912664824	0.522320611465735	1	5	0.0416666666666667	2	0.271092636845758	2	0.5	0.1	0.6	7.70371977754894e-35	3	1.88915916375402	0	0	1.570796326795	1.30865996517425	8.3544282603043e-16	1	4.35104882220082	2.7364007722713	0.880899361223055	7.5031237461072
"7"	7	-0.437785631809337	-0.270660949464914	1	2	0.380395665848578	2.56647293005385	0.888888888888889	3	0.0625	0	0.279909524908012	5	0.5	-0.1	-0.5	3.08148791101958e-34	3	1.73512645696292	0	0	1.17809724509625	1.50998725367114	-5.21804821573824e-16	1	2.34523449619897	3.35677910658901	-3.82790171346251	-4.14366355848531
"8"	8	-0.06419879337465	0.186295151215184	1	2	1.03972077083992	-1.34639783014578	1	5	0.0625	2	0.262495525430308	3	0.5	-0.1	0.5	7.70371977754894e-35	2	1.88915916375402	0	0	1.570796326795	1.22896324383981	8.88178419700125e-17	1	3.49019154399663	4.94462813082805	-1.15488820640353	1.57643788477955
"9"	9	0.7926392813759	0.379552965817451	1	2	0.389048349478822	-1.52952688725183	1	6	0.0416666666666667	0	0.284878837824758	2	0.5	0	0.8	1.23259516440783e-33	3	1.67698777432242	0	0	1.96349540849375	1.0662603614444	2.22044604925031e-16	1	-0.0882175705186636	6.86878118374656	0.248151688232652	0.941690180724651
"10"	10	0.786487729513365	0.931736967689907	1	1	0.346573590279973	1.94072541679207	1	5	0.111111111111111	0	0.253025184806298	2	0.333333333333333	-0.2	0.4	1.23259516440783e-33	5	1.73512645696292	0	0	0.7853981633975	1.12925517944526	2.1094237467878e-16	1	5.24420749639188	2.34672553418321	4.61374496662377	2.07916444089359
